date,HLCH4,HFCH4,HSFC,HSFS,HSWD,PSCH4,YJCH4,OT
2021/1/1 0:00,0.352,0.212,0.4,2.412,13.552,0.168,0.287,0.252
2021/1/1 1:00,0.34,0.21,0.4,2.407,13.464,0.162,0.281,0.247
2021/1/1 2:00,0.334,0.203,0.4,2.409,13.4,0.155,0.271,0.239
2021/1/1 3:00,0.328,0.2,0.4,2.396,13.357,0.15,0.264,0.235
2021/1/1 4:00,0.317,0.191,0.401,2.415,13.291,0.14,0.255,0.225
2021/1/1 5:00,0.309,0.19,0.4,2.408,13.21,0.132,0.25,0.216
2021/1/1 6:00,0.302,0.183,0.4,2.397,13.2,0.126,0.243,0.213
2021/1/1 7:00,0.301,0.18,0.4,2.404,13.194,0.118,0.236,0.21
2021/1/1 8:00,0.292,0.171,0.4,2.401,13.111,0.108,0.23,0.203
2021/1/1 9:00,0.288,0.17,0.4,2.388,13.1,0.105,0.229,0.201
2021/1/1 10:00,0.287,0.174,0.401,2.349,13.099,0.108,0.311,0.179
2021/1/1 11:00,0.294,0.187,0.472,2.34,13.076,0.124,0.366,0.184
2021/1/1 12:00,0.299,0.19,0.496,2.382,13.175,0.13,0.394,0.189
2021/1/1 13:00,0.306,0.198,0.272,2.369,13.13,0.14,0.391,0.196
2021/1/1 14:00,0.3,0.2,0.303,2.351,13.079,0.144,0.321,0.227
2021/1/1 15:00,0.336,0.276,0.011,2.355,13.046,0.263,0.337,0.339
2021/1/1 16:00,0.396,0.305,0.002,2.37,13.096,0.297,0.349,0.343
2021/1/1 17:00,0.45,0.361,0.001,2.382,13.149,0.369,0.352,0.421
2021/1/1 18:00,0.419,0.246,0.001,2.379,13.213,0.209,0.293,0.334
2021/1/1 19:00,0.402,0.274,0.001,2.389,13.295,0.252,0.434,0.299
2021/1/1 20:00,0.45,0.245,0,2.379,13.377,0.221,0.489,0.299
2021/1/1 21:00,0.454,0.278,0.003,2.393,13.402,0.275,0.509,0.306
2021/1/1 22:00,0.45,0.38,0.002,2.402,13.481,0.416,0.501,0.429
2021/1/1 23:00,0.446,0.396,0.281,2.407,13.585,0.417,0.502,0.425
2021/1/2 0:00,0.408,0.319,0.233,2.417,13.6,0.322,0.485,0.375
2021/1/2 1:00,0.439,0.336,0.222,2.43,13.65,0.337,0.478,0.365
2021/1/2 2:00,0.469,0.342,0.223,2.424,13.701,0.373,0.541,0.409
2021/1/2 3:00,0.469,0.405,0.206,2.412,13.779,0.441,0.549,0.471
2021/1/2 4:00,0.477,0.355,0.179,2.409,13.803,0.366,0.543,0.407
2021/1/2 5:00,0.493,0.318,0.151,2.414,13.811,0.316,0.534,0.421
2021/1/2 6:00,0.466,0.263,0.135,2.391,13.84,0.248,0.524,0.314
2021/1/2 7:00,0.463,0.285,0.125,2.408,13.898,0.282,0.473,0.325
2021/1/2 8:00,0.456,0.367,0.135,2.412,13.9,0.397,0.51,0.41
2021/1/2 9:00,0.387,0.279,0.121,2.413,13.9,0.259,0.53,0.319
2021/1/2 10:00,0.34,0.237,0.123,2.394,13.9,0.206,0.447,0.271
2021/1/2 11:00,0.315,0.22,0.101,2.395,13.889,0.187,0.409,0.241
2021/1/2 12:00,0.319,0.227,0.112,2.375,13.801,0.192,0.412,0.24
2021/1/2 13:00,0.314,0.218,0.109,2.385,13.723,0.179,0.402,0.238
2021/1/2 14:00,0.321,0.212,0.126,2.371,13.7,0.168,0.386,0.21
2021/1/2 15:00,0.35,0.261,0.109,2.377,13.7,0.255,0.428,0.304
2021/1/2 16:00,0.395,0.293,0.119,2.385,13.758,0.278,0.455,0.315
2021/1/2 17:00,0.466,0.353,0.161,2.383,13.831,0.393,0.515,0.441
2021/1/2 18:00,0.5,0.385,0.191,2.376,13.9,0.407,0.559,0.478
2021/1/2 19:00,0.521,0.348,0.167,2.395,13.926,0.368,0.579,0.399
2021/1/2 20:00,0.476,0.276,0.193,2.388,14.034,0.25,0.527,0.338
2021/1/2 21:00,0.49,0.323,0.202,2.406,14.096,0.361,0.533,0.424
